checkpoint_step,logged_step,timestamp,loss,grad_norm,lr,data_s,update_s
5000,5000,2026-07-05 10:52:38,0.427,1.679,9.4e-05,0.33,0.07
10000,10000,2026-07-05 11:26:13,0.302,1.504,7.6e-05,0.341,0.072
15000,15000,2026-07-05 12:01:35,0.263,1.462,5.2e-05,0.35,0.076
20000,20000,2026-07-05 12:37:21,0.238,1.506,2.7e-05,0.358,0.078
25000,24999,2026-07-05 13:12:22,0.213,1.364,9.2e-06,0.345,0.073
30000,30000,2026-07-05 13:47:07,0.222,1.432,2.5e-06,0.342,0.073
35000,35000,2026-07-05 14:21:50,0.236,1.519,2.5e-06,0.347,0.073
40000,40000,2026-07-05 14:56:37,0.251,1.567,2.5e-06,0.345,0.073
45000,45000,2026-07-05 15:31:23,0.244,1.572,2.5e-06,0.341,0.074
50000,49999,2026-07-05 16:06:05,0.219,1.454,2.5e-06,0.346,0.072
