timestamp,step,samples,episode,epoch,loss,grad_norm,lr,update_s,data_s
2026-07-05 10:20:02,100,200,0,0.0,4.176,0.728,5.1e-06,0.073,0.317
2026-07-05 10:20:41,200,400,1,0.0,3.864,0.822,1.5e-05,0.069,0.32
2026-07-05 10:21:21,300,600,1,0.01,3.395,1.064,2.5e-05,0.069,0.323
2026-07-05 10:22:00,400,800,1,0.01,2.923,1.348,3.5e-05,0.069,0.326
2026-07-05 10:22:40,500,1K,2,0.01,2.362,1.554,4.5e-05,0.069,0.328
2026-07-05 10:23:19,600,1K,2,0.01,2.278,1.805,5.5e-05,0.07,0.319
2026-07-05 10:23:58,700,1K,3,0.01,1.855,1.4,6.5e-05,0.07,0.319
2026-07-05 10:24:38,800,2K,3,0.02,1.625,1.102,7.5e-05,0.07,0.328
2026-07-05 10:25:17,900,2K,3,0.02,1.521,1.11,8.5e-05,0.069,0.322
2026-07-05 10:25:57,1000,2K,4,0.02,1.502,1.092,9.5e-05,0.07,0.328
2026-07-05 10:26:36,1100,2K,4,0.02,1.314,1.047,0.0001,0.07,0.327
2026-07-05 10:27:17,1200,2K,4,0.02,1.286,1.151,0.0001,0.07,0.33
2026-07-05 10:27:57,1300,3K,5,0.03,1.206,1.222,0.0001,0.07,0.328
2026-07-05 10:28:37,1400,3K,5,0.03,1.184,1.277,0.0001,0.069,0.333
2026-07-05 10:29:17,1500,3K,5,0.03,1.14,1.329,9.9e-05,0.07,0.332
2026-07-05 10:29:57,1600,3K,6,0.03,1.073,1.304,9.9e-05,0.07,0.327
2026-07-05 10:30:37,1700,3K,6,0.03,1.065,1.44,9.9e-05,0.07,0.326
2026-07-05 10:31:16,1800,4K,6,0.04,0.987,1.338,9.9e-05,0.07,0.323
2026-07-05 10:31:56,1900,4K,7,0.04,0.948,1.351,9.9e-05,0.07,0.331
2026-07-05 10:32:36,2000,4K,7,0.04,0.913,1.4,9.9e-05,0.07,0.326
2026-07-05 10:33:16,2100,4K,8,0.04,0.845,1.442,9.9e-05,0.07,0.33
2026-07-05 10:33:56,2200,4K,8,0.04,0.833,1.553,9.9e-05,0.07,0.331
2026-07-05 10:34:36,2300,5K,8,0.04,0.826,1.606,9.9e-05,0.071,0.329
2026-07-05 10:35:17,2400,5K,9,0.05,0.76,1.652,9.9e-05,0.071,0.333
2026-07-05 10:35:56,2500,5K,9,0.05,0.731,1.633,9.8e-05,0.071,0.325
2026-07-05 10:36:36,2600,5K,9,0.05,0.698,1.684,9.8e-05,0.07,0.326
2026-07-05 10:37:16,2700,5K,10,0.05,0.709,1.738,9.8e-05,0.07,0.331
2026-07-05 10:37:57,2800,6K,10,0.05,0.661,1.748,9.8e-05,0.071,0.333
2026-07-05 10:38:37,2900,6K,10,0.06,0.689,1.797,9.8e-05,0.071,0.334
2026-07-05 10:39:17,3000,6K,11,0.06,0.591,1.67,9.8e-05,0.07,0.331
2026-07-05 10:39:57,3100,6K,11,0.06,0.616,1.809,9.8e-05,0.071,0.328
2026-07-05 10:40:37,3200,6K,11,0.06,0.635,1.875,9.7e-05,0.071,0.326
2026-07-05 10:41:17,3300,7K,12,0.06,0.56,1.712,9.7e-05,0.071,0.326
2026-07-05 10:41:57,3400,7K,12,0.07,0.563,1.735,9.7e-05,0.07,0.328
